instrument,pearson,spearman
gao_hu,-0.007602657397597801,0.08388523242299958
er_hu,0.20860158094888964,0.2135495688557901
zhong_hu,0.23309380475766375,0.19778732443728794
ge_hu,0.11313079779947846,0.13823529411764704
di_yin_ge_hu,-0.06379644772791024,0.09411764705882353
jing_hu,0.13860814396415516,0.06176470588235294
ban_hu,-0.03747698232549175,0.03529411764705882
bang_di,0.04006415010921269,-0.1411764705882353
qu_di,0.2684719474367355,0.25588235294117645
xin_di,0.011723604537922427,-0.10448862284268369
da_di,0.24296318381727175,0.15294117647058825
gao_yin_sheng,0.040962399187382405,0.032352941176470584
zhong_yin_sheng,0.1670302417811714,-0.023529411764705882
di_yin_sheng,-0.030120047460796516,-0.047058823529411764
gao_yin_suo_na,-0.0035186512291129624,-0.19720387973126216
zhong_yin_suo_na,-0.11019267303931711,0.0014716707442631505
ci_zhong_yin_suo_na,-0.45091773562656456,-0.30882352941176466
di_yin_suo_na,-0.0854756158741637,0.15588235294117647
gao_yin_guan,-0.12405709917566099,-0.07511053801134686
zhong_yin_guan,0.13165995876265307,0.29476859063719857
di_yin_guan,-0.1977358367506742,-0.10294117647058824
bei_di_yin_guan,-0.2619976868143798,-0.17058823529411765
ba_wu,0.34688903468798726,0.2764705882352941
xun,-0.203520813688353,-0.15588235294117647
xiao,0.1923925406907981,0.10882352941176471
liu_qin,0.20856440080095598,0.16924213559026233
xiao_ruan,0.28085930606961695,0.22941176470588234
pi_pa,0.07412470610300127,0.13823529411764704
yang_qin,0.39700852930947583,0.351729307878893
zhong_ruan,0.3054667047132274,0.2411764705882353
da_ruan,0.43332817155221465,0.3911764705882353
gu_zheng,0.20390452882570975,0.19426053824273587
gu_qin,-0.004295279467605696,-0.07352941176470588
kong_hou,0.29172892663925876,0.3267109052264194
san_xian,-0.3111649017250592,-0.4282561865805768
yun_luo,0.032161732512696245,-0.035320097862315616
bian_zhong,0.06743206459907658,0.010301695209842055
