instrument,pearson,spearman
gao_hu,0.6021562717602499,0.5342164801675237
er_hu,0.5614338795610239,0.4904276305446766
zhong_hu,0.23485141730969675,-0.025092421756969366
ge_hu,0.08620700514300392,-0.08823529411764705
di_yin_ge_hu,-0.060664692313747326,-0.014705882352941175
jing_hu,0.4661918442386319,0.5323529411764706
ban_hu,0.5572967440772723,0.488235294117647
bang_di,0.45285409098111296,0.5441176470588236
qu_di,0.4154204160829804,0.42352941176470593
xin_di,-0.21621582631404893,-0.06916852498036807
da_di,0.2611610854576649,0.0411764705882353
gao_yin_sheng,0.5248443449346779,0.5176470588235293
zhong_yin_sheng,-0.19970144048298566,-0.44117647058823534
di_yin_sheng,-0.23421200945805484,-0.09117647058823529
gao_yin_suo_na,0.4396892072259195,0.4930096993281554
zhong_yin_suo_na,0.2753830386545,0.2869757951313143
ci_zhong_yin_suo_na,0.10832040213138285,0.07352941176470588
di_yin_suo_na,-0.17355878211695658,-0.31764705882352945
gao_yin_guan,0.3466787705359185,0.3534613553475146
zhong_yin_guan,-0.1462267728839503,-0.2254979718374569
di_yin_guan,-0.5285042833864377,-0.44705882352941173
bei_di_yin_guan,-0.3036779911768374,-0.4588235294117647
ba_wu,0.11077017267508936,0.049999999999999996
xun,-0.38039870563214295,-0.3911764705882353
xiao,-0.22049838167932365,-0.2647058823529412
liu_qin,0.4794306806230041,0.31935255150510367
xiao_ruan,0.4503245192797246,0.34705882352941175
pi_pa,0.42055255776968814,0.25588235294117645
yang_qin,0.4032279625044597,0.49006635783962915
zhong_ruan,-0.2716546835409872,-0.22647058823529412
da_ruan,-0.13999946167104785,0.0588235294117647
gu_zheng,0.3902152182031655,0.2707874169444197
gu_qin,-0.2564974148298904,-0.16764705882352943
kong_hou,0.5172548522625869,0.5430465046331027
san_xian,0.3698531429572257,0.332597588203472
yun_luo,0.4472047536735038,0.3899927472297349
bian_zhong,0.19017204509321037,0.24429734354768295
