instrument,pearson,spearman
gao_hu,-0.14412632218691518,-0.13539370847220986
er_hu,0.09184363645387088,0.12960249696075538
zhong_hu,-0.09395940158724171,-0.23468794466812526
ge_hu,0.02600910717652441,-0.11176470588235293
di_yin_ge_hu,-0.12033820021710945,-0.011764705882352941
jing_hu,-0.23019404710283897,-0.37058823529411766
ban_hu,-0.2026204818916893,-0.31176470588235294
bang_di,-0.149294877271816,-0.032352941176470584
qu_di,0.026592308212463736,0.06470588235294117
xin_di,0.491565108953693,0.5783666024954182
da_di,0.2953931228884767,0.3852941176470588
gao_yin_sheng,0.17041778688195805,0.31764705882352945
zhong_yin_sheng,-0.004354499129725631,0.11470588235294117
di_yin_sheng,-0.09060309340047237,0.2823529411764706
gao_yin_suo_na,-0.29648999926183484,-0.4473879062559977
zhong_yin_suo_na,0.03333808494579729,-0.10154528135415737
ci_zhong_yin_suo_na,0.134469262310887,0.18235294117647058
di_yin_suo_na,0.174197669679098,0.26176470588235295
gao_yin_guan,0.06147957132650361,-0.017673067767375733
zhong_yin_guan,-0.06014064894239367,-0.17538731142913314
di_yin_guan,-0.21099787651161378,-0.10294117647058824
bei_di_yin_guan,-0.1481197993124008,0.0588235294117647
ba_wu,0.07082670604506273,0.10588235294117648
xun,0.4625426081076825,0.5088235294117647
xiao,0.5663493783845193,0.5058823529411764
liu_qin,-0.22209098494047125,-0.22222228238373573
xiao_ruan,-0.013458138002102119,-0.09999999999999999
pi_pa,-0.25166152439157696,-0.2911764705882353
yang_qin,0.0663548274602325,0.011773365954105204
zhong_ruan,-0.16499771600294638,-0.06176470588235294
da_ruan,-0.019096933951309934,-0.0411764705882353
gu_zheng,-0.471399470774318,-0.5533481998429446
gu_qin,-0.05448416459969789,0.13823529411764704
kong_hou,-0.07394358778243335,-0.06033850051478917
san_xian,0.2667792169598756,0.11184697656399943
yun_luo,-0.1532411537674902,-0.17660048931157807
bian_zhong,0.24558299478969037,0.22222228238373573
