effect_type,source_type,filename,descriptor,target_text,scale,orig_target_sim,manip_target_sim,delta_target_sim
eq,guitar,guitar_EQ_harsh_0.6.wav,harsh,a harsh sound,0.6,0.040174477,0.0041513816,-0.036023095
eq,guitar,guitar_EQ_harsh_0.8.wav,harsh,a harsh sound,0.8,0.040174477,0.035245568,-0.0049289092
eq,guitar,guitar_EQ_harsh_1.0.wav,harsh,a harsh sound,1.0,0.040174477,0.010562863,-0.029611614
eq,guitar,guitar_EQ_heavy_0.2.wav,heavy,a heavy sound,0.2,0.06346862,0.07488337,0.011414751
eq,guitar,guitar_EQ_heavy_0.4.wav,heavy,a heavy sound,0.4,0.06346862,0.050120026,-0.013348594
eq,guitar,guitar_EQ_heavy_0.6.wav,heavy,a heavy sound,0.6,0.06346862,0.06312505,-0.00034356862
eq,guitar,guitar_EQ_heavy_0.8.wav,heavy,a heavy sound,0.8,0.06346862,0.053514555,-0.009954065
eq,guitar,guitar_EQ_heavy_1.0.wav,heavy,a heavy sound,1.0,0.06346862,0.055974204,-0.007494416
eq,guitar,guitar_EQ_loud_0.2.wav,loud,a loud sound,0.2,0.040775683,-0.0014036968,-0.04217938
eq,guitar,guitar_EQ_loud_0.4.wav,loud,a loud sound,0.4,0.040775683,0.051397584,0.010621902
eq,guitar,guitar_EQ_loud_0.6.wav,loud,a loud sound,0.6,0.040775683,0.0039604045,-0.03681528
eq,guitar,guitar_EQ_loud_0.8.wav,loud,a loud sound,0.8,0.040775683,0.01030175,-0.030473933
eq,guitar,guitar_EQ_loud_1.0.wav,loud,a loud sound,1.0,0.040775683,0.054522958,0.013747275
eq,guitar,guitar_EQ_mellow_0.2.wav,mellow,a mellow sound,0.2,0.16045886,0.17256802,0.01210916
eq,guitar,guitar_EQ_mellow_0.4.wav,mellow,a mellow sound,0.4,0.16045886,0.21605267,0.055593804
eq,guitar,guitar_EQ_mellow_0.6.wav,mellow,a mellow sound,0.6,0.16045886,0.2107647,0.050305843
eq,guitar,guitar_EQ_mellow_0.8.wav,mellow,a mellow sound,0.8,0.16045886,0.21716307,0.05670421
eq,guitar,guitar_EQ_mellow_1.0.wav,mellow,a mellow sound,1.0,0.16045886,0.23197876,0.0715199
eq,guitar,guitar_EQ_peaceful_0.2.wav,peaceful,a peaceful sound,0.2,0.06777821,0.09947962,0.031701416
eq,guitar,guitar_EQ_peaceful_0.4.wav,peaceful,a peaceful sound,0.4,0.06777821,0.08285289,0.015074685
eq,guitar,guitar_EQ_peaceful_0.6.wav,peaceful,a peaceful sound,0.6,0.06777821,0.09877134,0.030993134
eq,guitar,guitar_EQ_peaceful_0.8.wav,peaceful,a peaceful sound,0.8,0.06777821,0.11660467,0.048826464
eq,guitar,guitar_EQ_peaceful_1.0.wav,peaceful,a peaceful sound,1.0,0.06777821,0.10418749,0.03640928
eq,guitar,guitar_EQ_sharp_0.2.wav,sharp,a sharp sound,0.2,-0.0018878197,0.0044250786,0.0063128984
eq,guitar,guitar_EQ_sharp_0.4.wav,sharp,a sharp sound,0.4,-0.0018878197,-0.0043239295,-0.0024361098
eq,guitar,guitar_EQ_sharp_0.6.wav,sharp,a sharp sound,0.6,-0.0018878197,0.009366445,0.011254265
eq,guitar,guitar_EQ_sharp_0.8.wav,sharp,a sharp sound,0.8,-0.0018878197,0.023403846,0.025291666
eq,guitar,guitar_EQ_sharp_1.0.wav,sharp,a sharp sound,1.0,-0.0018878197,0.042543855,0.044431675
eq,guitar,guitar_EQ_smooth_0.2.wav,smooth,a smooth sound,0.2,0.11428371,0.17576504,0.061481327
eq,guitar,guitar_EQ_smooth_0.4.wav,smooth,a smooth sound,0.4,0.11428371,0.1921136,0.07782988
eq,guitar,guitar_EQ_smooth_0.6.wav,smooth,a smooth sound,0.6,0.11428371,0.20911244,0.094828725
eq,guitar,guitar_EQ_smooth_0.8.wav,smooth,a smooth sound,0.8,0.11428371,0.18298393,0.068700224
eq,guitar,guitar_EQ_smooth_1.0.wav,smooth,a smooth sound,1.0,0.11428371,0.22594342,0.111659706
eq,guitar,guitar_EQ_soft_0.2.wav,soft,a soft sound,0.2,0.054664902,0.103240274,0.04857537
eq,guitar,guitar_EQ_soft_0.4.wav,soft,a soft sound,0.4,0.054664902,0.13092867,0.07626376
eq,guitar,guitar_EQ_soft_0.6.wav,soft,a soft sound,0.6,0.054664902,0.10570273,0.051037826
eq,guitar,guitar_EQ_soft_0.8.wav,soft,a soft sound,0.8,0.054664902,0.11083011,0.05616521
eq,guitar,guitar_EQ_soft_1.0.wav,soft,a soft sound,1.0,0.054664902,0.12286365,0.06819875
eq,guitar,guitar_EQ_soothing_0.2.wav,soothing,a soothing sound,0.2,0.1235152,0.18177581,0.058260605
eq,guitar,guitar_EQ_soothing_0.4.wav,soothing,a soothing sound,0.4,0.1235152,0.18860129,0.06508608
eq,guitar,guitar_EQ_soothing_0.6.wav,soothing,a soothing sound,0.6,0.1235152,0.18586734,0.062352136
eq,guitar,guitar_EQ_soothing_0.8.wav,soothing,a soothing sound,0.8,0.1235152,0.17999107,0.056475863
eq,guitar,guitar_EQ_soothing_1.0.wav,soothing,a soothing sound,1.0,0.1235152,0.21193513,0.08841993
eq,guitar,guitar_EQ_tinny_0.2.wav,tinny,a tinny sound,0.2,0.13438228,0.12721458,-0.007167697
eq,guitar,guitar_EQ_tinny_0.4.wav,tinny,a tinny sound,0.4,0.13438228,0.11527355,-0.019108728
eq,guitar,guitar_EQ_tinny_0.6.wav,tinny,a tinny sound,0.6,0.13438228,0.115673296,-0.018708982
eq,guitar,guitar_EQ_tinny_0.8.wav,tinny,a tinny sound,0.8,0.13438228,0.17148578,0.037103504
eq,guitar,guitar_EQ_tinny_1.0.wav,tinny,a tinny sound,1.0,0.13438228,0.12287286,-0.0115094185
eq,guitar,guitar_EQ_warm_0.2.wav,warm,a warm sound,0.2,0.09310584,0.14095683,0.047850996
eq,guitar,guitar_EQ_warm_0.4.wav,warm,a warm sound,0.4,0.09310584,0.16495064,0.0718448
eq,guitar,guitar_EQ_warm_0.6.wav,warm,a warm sound,0.6,0.09310584,0.15936479,0.06625895
eq,guitar,guitar_EQ_warm_0.8.wav,warm,a warm sound,0.8,0.09310584,0.1641075,0.071001664
eq,guitar,guitar_EQ_warm_1.0.wav,warm,a warm sound,1.0,0.09310584,0.15528385,0.062178016
eq,piano,piano_EQ_bright_0.2.wav,bright,a bright sound,0.2,0.061727032,0.049856383,-0.011870649
eq,piano,piano_EQ_bright_0.4.wav,bright,a bright sound,0.4,0.061727032,0.042378988,-0.019348044
eq,piano,piano_EQ_bright_0.6.wav,bright,a bright sound,0.6,0.061727032,0.067979604,0.006252572
eq,piano,piano_EQ_bright_0.8.wav,bright,a bright sound,0.8,0.061727032,0.033520535,-0.028206497
eq,piano,piano_EQ_bright_1.0.wav,bright,a bright sound,1.0,0.061727032,0.040376276,-0.021350756
eq,piano,piano_EQ_calm_0.2.wav,calm,a calm sound,0.2,0.22228351,0.20207493,-0.020208582
eq,piano,piano_EQ_calm_0.4.wav,calm,a calm sound,0.4,0.22228351,0.22565979,0.0033762753
