effect_type,model,positive_slope_rate,positive_final_delta_rate,mean_slope,mean_final_delta,mean_pearson_r,mean_spearman_rho,all_source_consistency_rate
eq,LAION-CLAP,61.66666666666667,63.33333333333333,0.0112435052434,0.017960838475,0.18644390967379826,0.14833333333333332,30.0
eq,MSCLAP,73.33333333333333,71.66666666666667,0.021797645934216663,0.023465175939716667,0.3356177537242178,0.29999999999999993,40.0
eq,MuQ-MuLan,68.33333333333333,55.00000000000001,0.0113230512907,0.004868894567833334,0.396497837070236,0.40833333333333327,30.0
eq,OpenFLAM,56.666666666666664,40.0,-0.008268339234999998,-0.017914452391666665,0.13935624749990394,0.11999999999999998,45.0
reverb,LAION-CLAP,83.33333333333334,91.66666666666666,0.06002770786699999,0.064759441865,0.5222371836778625,0.5199999999999999,55.00000000000001
reverb,MSCLAP,70.0,80.0,0.04326228275866666,0.052743949543666666,0.3860530148488511,0.3933333333333333,45.0
reverb,MuQ-MuLan,88.33333333333333,73.33333333333333,0.078582311563,0.04460871591166667,0.6736691001236583,0.6516666666666666,65.0
reverb,OpenFLAM,48.333333333333336,40.0,-0.015297569313333335,-0.015119136415,-0.0006763648525244562,0.026666666666666658,0.0
